Developer Name, Repository Name, Number of Stars
hpcaitech , Open-Sora, 18,679
danny-avila , LibreChat, 13,237
rustdesk , rustdesk, 66,696
amplication , amplication, 14,168
open-metadata , OpenMetadata, 4,653
pocketbase , pocketbase, 35,421
zed-industries , zed, 38,415
baptisteArno , typebot.io, 5,616
argilla-io , argilla, 3,408
bleedline , aimoneyhunter, 10,289
ollama , ollama, 74,544
langflow-ai , langflow, 19,214
lobehub , lobe-chat, 33,046
practical-tutorials , project-based-learning, 177,943
omnivore-app , omnivore, 10,085
yangshun , tech-interview-handbook, 113,359
tencentmusic , supersonic, 942
serverless , serverless, 46,278
